video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=2rrWXDs6xhc&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),UW students move in to campus housing,3.4K,1 year,The University of Washington's campus again is bustling as students began moving into residence halls on Tuesday and will ...,2024-01-28 19:41:53.711125
/watch?v=HQ2BiY1FqCA&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UWHFS,UWHFS,#HuskyHome | UW Residential Housing Tour,67K,4 years,Make sure you like and subscribe for more content coming soon! To learn more about University of Washington's Housing & Food ...,2024-01-28 19:41:53.712427
/watch?v=vVy7_NTtIY8&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UWHFS,UWHFS,UW HFS | University of Washington Graduate Housing,17K,8 years,Watch our graduate students and their partners talk about what they enjoy about living in graduate housing at the University of ...,2024-01-28 19:41:53.713673
/shorts/eX8FsfDgAMA,/@BestCollegeAidUSA,Best College Aid USA,Out-of-state scholarships for the University of Washington #Shorts #College Tours,11K,1 year,"Out-of-state scholarships for the University of Washington Hello guys, welcome to the University of Washington, where Rainn ...",2024-01-28 19:41:53.714991
/watch?v=WzJc75S-LzY&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),UW Campus Tour: Hear It from a Husky,130K,8 years,Follow UW student Joe Santiago as he shows you around the University of Washington's Seattle campus and shares his tips ...,2024-01-28 19:41:53.716850
/watch?v=hzSE2icQaJI&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),"At the University of Washington, we all pull together.",59K,4 months,"At the UW, when we combine our individual passions with a shared purpose, we go further, faster — together. For pushing ...",2024-01-28 19:41:53.719177
/watch?v=Mki15g-fHiU&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@stefanarsov4064,Stefan Arsov,Phi Kappa Psi House Tour | University of Washington,32K,3 years,University of Washington Phi Kappa Psi virtual house tour. Check out our Instagram page : @uw_phipsi Schedule a house tour on ...,2024-01-28 19:41:53.720489
/watch?v=t79Six0wQz4&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@nolnkim,Nolan Kim,university of washington / most beautiful college campus / cinematic video,48K,3 years,"The other day, I was looking through my computer and realized that I had some footage leftover from the last year of the University ...",2024-01-28 19:41:53.721726
/watch?v=0h33Y9Zw8oQ&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),Be Boundless,65K,9 years,"At the University of Washington, our pride and passion are limitless. And so is our belief that together, we will change the world.",2024-01-28 19:41:53.723073
/watch?v=mgfsckxGxgU&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@PHNX_Sports,PHNX Sports,BREAKING: Jedd Fisch leaves the Arizona Wildcats football program from the University of Washington,10K,Streamed 13 days,"After apparently having contract negotiations stall, Jedd Fisch accepts the open position at the Univeristy of Washington.",2024-01-28 19:41:53.724875
/watch?v=gS7WczOL5YQ&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@espncfb,ESPN College Football,Sugar Bowl: Texas Longhorns vs. Washington Huskies | Full Game Highlights,1.9M,3 weeks,"Watch highlights from the Allstate Sugar Bowl where the Washington Huskies defeated the Texas Longhorns, 37-31. Michael ...",2024-01-28 19:41:53.726234
/watch?v=4QHzR43852I&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),UW Admissions - frequently asked questions,45K,5 years,"UW Admissions counselors talk here about the application process -- weighing academic and personal achievement, submission ...",2024-01-28 19:41:53.727497
